19500	20551
38250	10051
38250	14265
65500	21840
65500	29202
69500	10646
69500	15315
69500	18730
83250	1731
83250	6174
83250	7624
83250	7989
83250	8769
83250	21238
83250	25753
83250	28885
140500	3627
140500	10480
140500	14625
140500	18730
140500	23779
145750	11578
154500	5863
154500	8689
154500	13830
190500	20751
200250	25570
232000	21865
236000	17690
236000	18275
239250	12647
239250	28481
252500	6199
252500	18544
252500	23656
266500	9657
282500	1962
299750	24601
309750	4545
309750	15365
371250	25596
380000	1773
380000	5620
380000	12329
380000	14174
393250	13093
393250	20154
393250	22306
415500	23164
418500	15138
434750	4571
434750	6104
434750	19394
434750	19973
439000	26404
448250	15911
452750	14796
452750	15638
452750	24392
472000	3515
472000	6211
472000	23584
472000	25333
528250	155
528250	2963
528250	8693
563500	10778
563500	23928
573000	18868
573000	19615
599750	20297
620500	934
620500	10646
620500	21840
621500	6326
691500	239
691500	6080
691500	8764
691500	14498
691500	14554
691500	15390
691500	23013
691500	27912
691500	28641
691500	29445
711500	26722
725000	17835
725000	20902
731750	7692
731750	9195
745750	21071
745750	24869
746000	155
746000	6571
746000	7105
746000	21865
764000	18990
776750	12717
776750	26699
791500	8738
791500	10329
791500	14712
791500	16606
791500	20297
791500	21050
791500	23492
791500	24831
799000	3555
799000	24553
799000	25839
799000	29099
847750	12728
847750	18024
847750	21684
847750	28169
848500	259
848500	7286
848500	23628
861750	23284
892500	10306
965500	26378
981000	14020
981000	14153
1025250	13247
1063000	530
1063000	14165
1063000	15019
1063000	20551
1063000	22280
1063000	22749
1063000	24196
1063000	24929
1063000	28481
1074500	12606
1074500	16602
1074750	12220
1074750	22556
1086750	1084
1086750	7868
1086750	18977
1104500	18678
1110750	3458
1118250	3068
1118250	10970
1118250	14794
1118250	19096
1118250	26665
1140750	6741
1140750	7868
1140750	14261
1181250	8339
1189000	11328
1189000	12175
1189000	23628
1194750	679
1194750	4059
1194750	5306
1194750	6543
1194750	7400
1194750	7827
1194750	20551
1194750	24669
1194750	25169
1194750	27052
1240250	18392
1240250	20297
1244250	4324
1247000	25635
1319000	599
1319000	5797
1319000	10449
1324500	7868
1381000	29099
1446250	20297
1446250	23482
1459000	6147
1492500	24886
1517000	4808
1517000	7208
1517000	15086
1517000	16302
1517000	27205
1525000	2257
1525000	11196
1528500	23774
1528500	26546
1528500	28370
1531250	7026
1561250	12352
1561250	17706
1561250	21511
1561250	22973
1561250	24307
1579250	4078
1579250	25424
1617250	5077
1617250	12283
1617250	18002
1617250	19405
1620500	1195
1620500	5833
1620500	23735
1620500	28774
1622500	18771
1629250	9120
1629250	18024
1629250	19891
1629250	21392
1629250	24601
1629250	29099
1661750	1731
1661750	3151
1661750	3324
1661750	9802
1661750	14020
1661750	22342
1688750	3145
1688750	7248
1688750	12220
1699500	16716
1699500	24715
1710500	14780
1710500	28065
1727500	3228
1727500	4452
1758250	3091
1758250	6571
1758250	28481
1767500	14626
1782250	155
1782250	24460
1792000	9301
1792000	16540
1792000	20630
1792000	23214
1793250	2033
1806750	20701
1806750	26394
1812000	11196
1832000	10916
1832000	25687
1904750	9138
1904750	23928
1904750	27314
1906000	2438
1909250	504
1909250	6326
1909250	10014
1909250	15992
1909250	18180
1909250	20516
1909250	23470
1909250	24645
1911500	21815
1953250	6783
1953250	12394
1953250	14020
1953250	23984
1969000	12220
1971500	7230
1971500	8316
1971500	11000
1971500	22043
2033500	712
2033500	8689
2050000	5306
2050000	5620
2050000	11022
2050000	15231
2050000	17960
2050000	18996
2050000	21659
2050000	26866
2078000	7622
2078000	17752
2088000	617
2088000	15019
2088000	21883
2103250	4220
2103250	7567
2103250	11022
2103250	25219
2103250	28855
2138750	14120
2168250	7868
2182750	18808
2187500	23628
2198750	9250
2198750	13054
2200750	9315
2232500	679
2232500	11000
2232500	11060
2316250	9688
2316250	10948
2316250	18180
2331750	7179
2331750	8628
2331750	19539
2331750	27179
2378500	2669
2378500	12886
2378500	14795
2378500	19974
2378500	23774
2378500	26619
2386250	948
2386250	7061
2428500	17153
2448250	24669
2492500	20979
2688750	155
2688750	1739
2688750	3181
2688750	3774
2688750	15721
2688750	22749
2704750	13592
2752000	3032
2752000	5043
2752000	5667
2752000	11679
2752000	14074
2752000	19405
2752000	22179
2752000	26728
2752000	27906
2768250	23421
2771250	476
2771250	1494
2788750	10702
2788750	11176
2788750	11431
2788750	18515
2807500	11329
2807500	27117
2852250	11682
2852250	21706
2870250	8327
2870250	14020
2870250	17606
2870250	29363
2874500	3047
2874500	7868
2874500	28370
2891500	3627
2891500	8027
2920750	22400
2920750	23538
2940000	11272
2940000	11767
2968250	11624
2968250	14273
2968250	16463
3001000	21995
3009000	5627
3009000	7230
3009000	8724
3009000	11000
3009000	12327
3009000	12964
3009000	14695
3009000	15019
3009000	17732
3009000	19014
3009000	21840
3009000	22393
3009000	28347
3009000	28411
3010000	4220
3014750	2353
3014750	7868
3014750	18558
3031750	12977
3031750	14020
3031750	16110
3031750	18131
3031750	18388
3054250	5448
3089500	1917
3096750	11541
3096750	15315
3114000	20536
3114000	21092
3114000	23928
3148500	4762
3148500	7620
3148500	12795
3148500	16217
3148500	22126
3148500	28561
3188000	16463
3188000	18025
3188000	26618
3211250	11076
3216500	2963
3216500	28992
3226500	22240
3245250	23878
3249250	26394
3266750	5416
3282250	11857
3288250	6395
3293750	26523
3304500	3804
